lig,rec,g1,g2,g3,g4,g5,g6,g7,g8
H,H,0.01918,-0.05663,-0.03994,0.0198,0.02062,-0.03007,-0.03228,-0.03929
H,H_N,0.04851,0.03556,-0.003842,0.02637,0.07606,0.02631,-0.04842,-0.03269
H,H_O,-0.002967,-0.004311,-0.02036,0.005806,-0.02149,-0.02655,-0.06386,-0.06671
H,H_S,0.006956,-0.01564,-0.03746,-0.003681,0.02891,0.02371,-0.03286,-0.07253
H,H_ba,0.016,0.006673,0.003912,0.01946,0.01084,-0.06341,-0.09407,-0.06891
H,C,0.01271,0.0228,0.01985,-0.02969,0.003275,0.04938,-0.02359,-0.06126
H,C_a,0.03488,-0.03117,-0.08044,-0.06118,0.01906,0.054,0.005031,-0.05298
H,C_SP2,0.04492,-0.05718,-0.09641,-0.01546,0.1425,0.1486,0.006601,-0.07034
H,C_SP,0.0188,-0.005847,0.01591,-0.01144,0.01562,0.005598,0.01167,-0.002575
H,F,0.03336,0.02229,-0.02163,-0.007798,-0.003649,0.05076,0.05413,-0.001323
H,F_ba,-0.00642,0.0104,0.01157,0.01126,0.01181,-0.006057,-0.02335,-0.01756
H,Cl,0.01744,-0.007201,-0.03807,-0.04113,-0.005956,-0.002389,0.0467,0.0478
H,Cl_ba,-0.007292,-0.004119,-0.02025,0.01543,0.001608,0.004889,-0.0008986,-0.007699
H,Br,-0.02422,-0.04241,-0.06022,-0.03251,-0.03236,-0.03907,-0.04016,0.02168
H,Br_ba,0.002002,-0.0115,0.01074,0.02201,-0.00355,0.002125,-0.006544,-0.007465
H,I,-0.021,-0.02469,-0.02204,-0.02337,-0.02064,0.01821,0.01553,0.03649
H,I_ba,0.01003,-0.006953,-0.006145,0.01681,0.006979,0.001033,-0.008405,-0.001102
H,N_D,-0.03851,-0.01824,-0.0178,-0.03674,-0.02673,0.03247,0.0788,0.0685
H,N_a_D,0.03571,0.002609,-0.05471,-0.02863,0.05042,0.02439,-0.06291,-0.09574
H,N_ba_D,0.02208,0.007335,-0.03446,-0.03713,0.01216,0.003097,-0.03418,-0.02498
H,Np_D,-0.06741,-0.08271,-0.04835,0.02286,0.1953,0.264,0.1196,-0.01342
H,N_SP2_D,0.008604,-0.01484,-0.007097,0.001031,-0.003073,0.03399,0.004817,0.00305
H,N_AMID_D,-0.008825,-0.01333,-0.02076,-0.01437,-0.005231,-0.0627,-0.1183,-0.08353
H,Np_RES_D,-0.0233,-0.05063,-0.07641,-0.06478,0.009247,0.02224,-0.03804,-0.06874
H,N_DA,-0.006641,0.02593,0.01991,0.002754,0.0102,0.0004744,1.636e-05,-0.001975
H,N_a_DA,0.03376,-0.01243,-0.0269,-0.009459,0.01746,0.01414,-0.05235,-0.09505
H,O_DA,0.03613,-0.0258,-0.02628,0.01471,0.02308,-0.001388,-0.08694,-0.1089
H,O_ba_DA,0.02205,-0.01748,0.01044,0.03493,0.04316,0.01434,-0.06259,-0.09509
H,Met_DA,0.06344,0.0471,0.004817,-0.04401,-0.05585,-0.01146,0.08649,0.02496
